acl 2.3.1-1
libnftnl 1.1.9-1
libnghttp2 1.43.0-1
libnl 3.5.0-2
libnm 1.30.2-1
libnotify 0.7.9-1
libnsl 1.3.0-1
libogg 1.3.4-2
libomxil-bellagio 0.9.3-3
libp11-kit 0.23.22-1
libpcap 1.10.0-1
libpciaccess 0.16-2
libpgm 5.3.128-1
libpipeline 1.5.3-1
libpng 1.6.37-3
libproxy 0.4.17-1
libpsl 0.21.1-1
libpulse 14.2-3
libraw1394 2.1.2-3
librsvg 2:2.50.3-1
libsamplerate 0.2.1-1
libsasl 2.1.27-3
libseccomp 2.5.1-2
libsecret 0.20.4-1
libshout 1:2.4.5-1
libsidplayfp 2.1.1-1
libsm 1.2.3-2
libsndfile 1.0.31-1
libsodium 1.0.18-2
libsoup 2.72.0+10+gfe1e295d-1
libsoxr 0.1.3-2
libssh 0.9.5-1
libssh2 1.9.0-3
libsynctex 2020.54586-12
libtasn1 4.16.0-1
libteam 1.31-2
libthai 0.1.28-2
libtheora 1.1.1-5
libtiff 4.2.0-1
libtirpc 1.3.1-1
libtool 2.4.6+42+gb88cebd5-14
libunistring 0.9.10-3
libunwind 1.5.0-1
libupnp 1.14.5-1
liburing 2.0-1
libusb 1.0.24-2
libutempter 1.2.1-1
libva 2.11.0-1
libvdpau 1.4-1
libvorbis 1.3.7-2
libvpx 1.10.0-1
libwacom 1.9-1
libwebp 1.2.0-1
libx11 1.7.0-4
libxau 1.0.9-3
libxaw 1.0.14-1
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcrypt 4.4.18-1
libxcursor 1.2.0-2
libxdamage 1.1.5-3
libxdg-basedir 1.2.0-5
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfixes 5.0.3-4
libxfont2 2.0.4-3
libxft 2.3.3-2
libxi 1.7.10-3
libxinerama 1.1.4-3
libxkbcommon 1.2.0-2
libxkbcommon-x11 1.2.0-2
libxkbfile 1.1.0-2
libxml2 2.9.10-8
libxmu 1.1.3-2
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxshmfence 1.3-2
libxslt 1.1.34-5
libxss 1.2.3-3
libxt 1.2.1-1
libxtst 1.2.3-4
libxv 1.0.11-4
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
licenses 20200427-1
linux 5.11.11.arch1-1
linux-api-headers 5.10.13-1
linux-firmware 20210315.3568f96-1
llvm-libs 11.1.0-1
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
luit 20201003-1
lynx 2.8.9-3
lz4 1:1.9.3-1
lzo 2.10-3
m4 1.4.18-3
macchanger 1.7.0-5
make 4.3-3
man-db 2.9.4-1
md4c 0.4.7-1
mesa 21.0.1-1
minizip 1:1.2.11-4
mkinitcpio 30-1
mkinitcpio-busybox 1.32.1-3
mobile-broadband-provider-info 20201225-1
mpc 0.33-3
mpd 0.22.6-3
mpfr 4.1.0-1
mpg123 1.26.5-1
mtdev 1.1.6-1
mullvad-vpn 2021.2-4
ncmpcpp 0.9.2-1
ncurses 6.2-1
neofetch 7.1.0-2
nettle 3.7.2-1
networkmanager 1.30.2-1
npth 1.6-3
nspr 4.30-1
nss 3.63-1
openal 1.21.1-1
opencore-amr 0.1.5-5
openjpeg2 2.4.0-1
openmpi 4.0.5-3
openresolv 3.12.0-1
openssh 8.5p1-1
openssl 1.1.1.k-1
opus 1.3.1-2
orc 0.4.32-1
p11-kit 0.23.22-1
pacman 5.2.2-2
pacman-mirrorlist 20210405-1
pam 1.5.1-1
pambase 20200721.1-2
pango 1:1.48.4-1
patch 2.7.6-8
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.36-1
perl 5.32.1-1
perl-error 0.17029-2
perl-mailtools 2.21-4
perl-timedate 2.33-2
picom-ibhagwan-git 1577_Next.296.g60eb00c_2021.02.08-1
pinentry 1.1.1-1
pipes.sh 1.3.0-1
pixman 0.40.0-1
pkgconf 1.7.3-1
polkit 0.118-1
popt 1.18-1
portaudio 1:19.7.0-1
procps-ng 3.3.17-1
psmisc 23.4-1
pulseaudio 14.2-3
pulseaudio-alsa 1:1.2.2-2
python 3.9.2-1
python-appdirs 1.4.4-3
python-beautifulsoup4 4.9.3-4
python-cachecontrol 0.12.6-3
python-cffi 1.14.5-1
python-chardet 4.0.0-1
python-colorama 0.4.4-3
python-commonmark 0.9.1-3
python-contextlib2 0.6.0.post1-3
python-cryptography 3.4.7-1
python-distlib 0.3.1-2
python-distro 1.5.0-3
python-dnspython 1:1.16.0-3
python-docutils 0.16-4
python-ffmpeg 0.2.0-2
python-future 0.18.2-5
python-html5lib 1.1-6
python-idna 3.1-1
python-itunespy 1.6-2
python-jinja 2.11.3-2
python-lxml 4.6.3-1
python-markdown 3.3.4-1
python-markupsafe 1.1.1-7
python-msgpack 1.0.2-2
python-musicbrainzngs 0.7.1-3
python-mutagen 1.45.1-3
python-ordered-set 4.0.2-3
python-packaging 20.9-1
python-pep517 0.10.0-1
python-pip 20.3.1-1
python-ply 3.11-7
python-progress 1.5-5
python-pycountry 20.7.3-3
python-pycparser 2.20-3
python-pydes 2.0.1-2
python-pygments 2.8.1-1
python-pyopenssl 20.0.1-1
python-pyparsing 2.4.7-3
python-pyqt5 5.15.4-1
python-pyqt5-sip 12.8.1-3
python-pyqt5-webengine 5.15.4-1
python-pysocks 1.7.1-4
python-pyxdg 0.27-1
python-requests 2.25.1-1
python-resolvelib 0.5.4-1
python-retrying 1.3.3-9
python-rich 10.1.0-1
python-setuptools 1:54.2.0-1
python-simber 0.2.1-0
python-six 1.15.0-3
python-soupsieve 2.2.1-1
python-toml 0.10.2-3
python-typing_extensions 3.7.4.3-3
python-unidecode 1.2.0-1
python-urllib3 1.26.4-1
python-webencodings 0.5.1-6
python-wheel 0.36.2-1
python-yaml 5.4.1.1-1
python-youtube-search-git 2.1.0.r34.886fe1b-1
qt5-base 5.15.2-5
qt5-declarative 5.15.2-1
qt5-location 5.15.2-2
qt5-webchannel 5.15.2-1
qt5-webengine 5.15.3-3
qutebrowser 2.1.1-1
ranger 1.9.3-3
rav1e 0.4.1-1
re2 1:20210401-1
readline 8.1.0-2
rest 0.8.1-3
rsync 3.2.3-3
rtkit 0.13-1
rust 1:1.51.0-1
scrot 1.5-1
sdl2 2.0.14-1
sed 4.8-1
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
slang 2.3.2-2
slock 1.4-5
smbclient 4.14.2-1
snappy 1.1.8-2
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
spicetify-cli 1.2.1-1
spotify 1:1.1.56.595-1
sqlite 3.35.4-1
srt 1.4.2-1
starship 0.51.0-2
sudo 1.9.6.p1-1
sxiv 26-1
sysfsutils 2.1.1-1
systemd 248-3
systemd-libs 248-3
systemd-sysvcompat 248-3
taglib 1.12-1
talloc 2.3.2-1
tar 1.34-1
tdb 1.4.3-4
tevent 1:0.10.2-3
texinfo 6.7-3
tree 1.8.0-2
tslib 1.22-1
twolame 0.4.0-2
tzdata 2021a-1
unzip 6.0-14
util-linux 2.36.2-1
util-linux-libs 2.36.2-1
v4l-utils 1.20.0-1
vid.stab 1.1-3
vim 8.2.2653-1
vim-runtime 8.2.2653-1
vmaf 1.5.3-1
vulkan-icd-loader 1.2.172-1
wavpack 5.4.0-1
wayland 1.19.0-1
wayland-protocols 1.20-1
webrtc-audio-processing 0.3.1-2
weechat 3.1-1
which 2.21-5
wildmidi 0.4.3-3
wpa_supplicant 2:2.9-8
x264 3:0.161.r3039.544c61f-1
x265 3.5-1
xbitmaps 1.1.2-2
xcb-proto 1.14.1-3
xcb-util 0.4.0-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xclip 0.13-3
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 1.0.0-1
xkeyboard-config 2.32-1
xmobar 0.36-156
xmonad 0.15-121
xmonad-contrib 0.16-101
xorg-fonts-encodings 1.0.5-2
xorg-server 1.20.10-3
xorg-server-common 1.20.10-3
xorg-setxkbmap 1.3.2-2
xorg-xauth 1.1-2
xorg-xinit 1.4.1-3
xorg-xkbcomp 1.4.5-1
xorg-xmodmap 1.0.10-2
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.0-2
xorg-xset 1.2.4-2
xorgproto 2021.3-1
xterm 367-1
xvidcore 1.3.7-2
xxhash 0.8.0-1
xz 5.2.5-1
yajl 2.1.0-4
yay 10.2.0-1
youtube-dl 2021.04.07-1
ytmdl 2021.3.4-0
zathura 0.4.7-1
zeromq 4.3.4-1
zimg 3.0.1-2
zita-alsa-pcmi 0.3.2-3
zita-resampler 1.8.0-1
zlib 1:1.2.11-4
zsh 5.8-1
zstd 1.4.9-1
zziplib 0.13.72-1
